,pc_code,pc_description,unit,country_name,quantity,Per unit,categoryName,categoryID,Value,year
0,H9,Agro Chemicals,Kgs,Afghanistan,239068.0,0.716538,Fertilizers,3,171301.3066,2013
1,L5,"Aluminium, Products Of Aluminm",Ton,Afghanistan,1462.0,9.443439,Metals,2,13806.30782,2013
2,I8,Auto Tyres And Tubes,Nos,Afghanistan,146510.0,4.553477,Machinery and Parts,5,667129.9153,2019
3,H4,Ayush And Herbal Products,Kgs,Afghanistan,150090.0,1.086813,Cosmetics,6,163119.7632,2016
4,H5,"Bulk Drugs, Drug Intermediates",Kgs,Afghanistan,256929.0,2.309159,Chemicals,7,593289.9127,2016
5,S2,Carpet(Excl. Silk) Handmade,Sqm,Afghanistan,513.0,0.047251999999999995,Handicrafts,12,24.240276,2015
6,L6,Copper And Prdcts Made Of Copr,Ton,Afghanistan,423.0,5.774782,Metals,2,2442.732786,2018
7,P8,"Cotton Fabrics, Madeups Etc.",Na,Afghanistan,1907.0,2.075031,Fabric Materials,14,3957.084117,2013
8,P7,Cotton Yarn,Ton,Afghanistan,1.0,0.006534999999999999,Fabric Materials,14,0.006535,2014
9,H8,"Drug Formulations, Biologicals",Kgs,Afghanistan,5964538.0,64.878505,Chemicals,7,386970308.5,2015
10,H7,Dyes,Kgs,Afghanistan,2398.0,0.057046000000000006,Dyes,7,136.796308,2018
11,M4,Electrodes,Kgs,Afghanistan,20.0,0.00023700000000000001,Accumulators and Batteries,9,0.00474,2014
12,P2,Microwave ,Na,Afghanistan,10088.0,0.666686,Electronic Components,11,6725.528368,2017
13,P3,Washing Machine,Na,Afghanistan,8410.0,2.75838,Electronic Components,11,23197.9758,2019
14,H2,Fertilizers Crude,Ton,Afghanistan,30.0,0.057348,Fertilizers,3,1.72044,2017
15,H3,Fertilizers Manufactured,Ton,Afghanistan,1687.0,6.230798,Fertilizers,3,10511.35623,2013
16,F8,Finished Leather,Kgs,Afghanistan,4.0,8.9e-05,Leather Products,1,0.000356,2017
17,I2,Inorganic Chemicals,Kgs,Afghanistan,38730.0,0.06421900000000001,Chemicals,7,2487.20187,2015
18,L3,Iron And Steel,Ton,Afghanistan,111.0,0.113527,Metals,2,12.601497,2018
19,G3,Leather Footwear Component,Kgs,Afghanistan,10.0,0.000149,Leather Products,1,0.00149,2015
20,G1,Leather Garments,Kgs,Afghanistan,8224.0,0.4067,Leather Products,1,3344.7008,2016
21,Q3,"Manmade Yarn,Fabrics,Madeups",Na,Afghanistan,3997.0,82.269818,Fabric Materials,14,328832.4625,2013
22,O5,Motor Vehicle/Cars,Nos,Afghanistan,1062.0,1.49889,Machinery and parts,10,1591.82118,2014
24,I3,Organic Chemicals,Kgs,Afghanistan,34789.0,0.145076,Chemicals,7,5047.048964,2014
25,M2,Oth Non Ferous Metal And Prodc,Kgs,Afghanistan,247750.0,0.55113,Metals,2,136542.4575,2020
26,S6,Petroleum Products,Ton,Afghanistan,202.0,0.164678,Petroleum Products,13,33.264956,2016
27,K9,"Plastc Sht, Film, Plts Etc",Kgs,Afghanistan,314976.0,0.635847,Plastic Products,8,200276.5447,2019
28,K8,Plastic Raw Materials,Ton,Afghanistan,277.0,0.284327,Plastic Products,8,78.758579,2013
29,Q7,Rmg Silk,Na,Afghanistan,6685.0,0.853512,Fabric Materials,14,5705.72772,2015
30,Q9,Rmg Wool,Na,Afghanistan,6931.0,1.821386,Fabric Materials,14,12624.02637,2016
31,Q5,"Wollen Yarn,Fabrics,Madeupsetc",Na,Afghanistan,361.0,0.0061070000000000004,Fabric Materials,14,2.204627,2013
32,N1,"Aircraft, Spacecraft And Parts",Na,Australia,2970.0,5.583886,Machinery and Parts,10,16584.14142,2018
33,M5,Accumulators And Batteries,Na,Australia,1819.0,3.6266480000000003,Accumulators and Batteries,10,6596.872712,2020
34,H9,Agro Chemicals,Kgs,Australia,11052163.0,55.994677,Fertilizers,3,618862297.3,2017
35,O4,"Aircraft, Spacecraft And Parts",Na,Australia,444.0,2.1724669999999997,Machinery and Parts,10,964.575348,2013
36,L5,"Aluminium, Products Of Aluminm",Ton,Australia,3848.0,12.684277999999999,Metals,2,48809.10174,2016
37,N7,"Aluminium, Products Of Aluminm",Na,Australia,777.0,25.503238,Metals,2,19816.01593,2020
38,M3,Auto Components/Parts,Na,Australia,777.0,22.036931,Machinery and Parts,10,17122.69539,2013
39,I8,Auto Tyres And Tubes,Nos,Australia,196275.0,24.050871,Rubber Products,5,4720584.706,2015
40,H4,Ayush And Herbal Products,Kgs,Australia,1246005.0,8.659916,Cosmetics,6,10790298.64,2020
